date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi,mxf_dealer_long_oi,mxf_dealer_short_oi,mxf_dealer_net_oi,mxf_foreigner_long_oi,mxf_foreigner_short_oi,mxf_foreigner_net_oi,mxf_trust_long_oi,mxf_trust_short_oi,mxf_trust_net_oi,mxf_long_oi,mxf_short_oi,mxf_net_oi,buy_top5_oi_call,buy_top5_percent_call,buy_top10_oi_call,buy_top10_percent_call,sell_top5_oi_call,sell_top5_percent_call,sell_top10_oi_call,sell_top10_percent_call,total_call,buy_top5_oi_put,buy_top5_percent_put,buy_top10_oi_put,buy_top10_percent_put,sell_top5_oi_put,sell_top5_percent_put,sell_top10_oi_put,sell_top10_percent_put,total_put,buy_top5_oi_future,buy_top5_percent_future,buy_top10_oi_future,buy_top10_percent_future,sell_top5_oi_future,sell_top5_percent_future,sell_top10_oi_future,sell_top10_percent_future,total_future,open,high,low,close,volume
2008-04-21,6850,2769,4081,29147,35186,-6039,374,3328,-2954,36371,41283,-4912,1659,3147,-1488,0,138,-138,0,15,-15,1659,3300,-1641,106615,46.2,144276,62.5,72951,31.6,97406,42.2,230986,104094,48.3,136320,63.2,46502,21.6,67339,31.2,215632,21502,35.6,27847,46.0,20953,34.6,32874,54.4,60476,9168.0,9174.0,9044.0,9082.0,49855
2008-04-22,6660,3331,3329,28689,35871,-7182,261,3253,-2992,35610,42455,-6845,1829,3387,-1558,0,368,-368,0,12,-12,1829,3767,-1938,111299,44.7,147914,59.4,80069,32.2,106175,42.7,248920,115524,48.0,151981,63.1,52830,21.9,75130,31.2,240904,21330,34.7,27805,45.2,20968,34.1,33193,54.0,61515,9056.0,9076.0,8977.0,9030.0,49137
2008-04-23,6968,3286,3682,28352,39027,-10675,280,3454,-3174,35600,45767,-10167,1806,3473,-1667,0,64,-64,0,15,-15,1806,3552,-1746,109807,41.0,149524,55.9,85386,31.9,114863,42.9,267679,121738,47.2,161717,62.8,53543,20.8,76961,29.9,257669,20551,32.3,27157,42.6,22750,35.7,36191,56.8,63723,9055.0,9093.0,8945.0,8984.0,68333
2008-04-24,6060,3021,3039,29542,38203,-8661,288,3345,-3057,35890,44569,-8679,2414,3510,-1096,306,0,306,0,15,-15,2720,3525,-805,109850,39.4,147709,52.9,86298,30.9,116354,41.7,279109,123685,44.8,168562,61.0,63267,22.9,88685,32.1,276380,20769,32.7,26935,42.4,22576,35.6,35729,56.3,63495,8966.0,9045.0,8955.0,8978.0,50961
2008-04-25,6784,3760,3024,29788,38016,-8228,236,3543,-3307,36808,45319,-8511,2889,3808,-919,1,177,-176,0,9,-9,2890,3994,-1104,111356,37.4,146258,49.2,94740,31.8,126014,42.4,297509,128528,44.5,176636,61.2,65443,22.7,91309,31.6,288662,21256,32.7,27669,42.6,22001,33.9,35355,54.4,64944,9052.0,9068.0,8950.0,8988.0,54703
2008-04-28,9091,4275,4816,30473,36881,-6408,240,3559,-3319,39804,44715,-4911,4756,3698,1058,360,7,353,0,12,-12,5116,3717,1399,115568,36.8,151459,48.3,100404,32.0,133302,42.5,313805,130894,44.2,178263,60.1,66967,22.6,92423,31.2,296376,21528,32.8,28989,44.2,21558,32.9,34586,52.8,65559,8998.0,9092.0,8973.0,9090.0,54693
2008-04-29,7462,4715,2747,29985,39049,-9064,272,3864,-3592,37719,47628,-9909,3857,4516,-659,1,200,-199,0,12,-12,3858,4728,-870,106318,32.5,144325,44.2,104113,31.9,142337,43.6,326757,135382,44.6,186155,61.3,71775,23.6,97378,32.1,303510,20333,29.9,27769,40.8,21919,32.2,35221,51.8,68029,9090.0,9100.0,8872.0,8920.0,62994
2008-04-30,7121,4678,2443,30623,39417,-8794,280,4184,-3904,38024,48279,-10255,4526,4636,-110,299,0,299,0,9,-9,4825,4645,180,108093,31.8,148639,43.7,107298,31.6,147311,43.3,340068,144450,44.7,195535,60.5,79899,24.7,107107,33.1,323115,21036,31.0,27779,40.9,21952,32.4,35571,52.4,67849,8910.0,8986.0,8895.0,8937.0,48508
2008-05-02,7994,4086,3908,31780,39355,-7575,361,4166,-3805,40135,47607,-7472,2460,2736,-276,298,179,119,0,9,-9,2758,2924,-166,112921,30.8,160707,43.8,117715,32.1,161944,44.1,366988,144209,43.9,196042,59.6,77806,23.7,105324,32.0,328860,22351,33.5,29614,44.4,22076,33.1,35771,53.6,66727,9021.0,9040.0,8936.0,9009.0,45415
2008-05-05,4883,5344,-461,31216,40588,-9372,581,4191,-3610,36680,50123,-13443,1895,2860,-965,0,270,-270,0,9,-9,1895,3139,-1244,111218,29.3,156557,41.3,129835,34.2,178767,47.1,379182,143718,42.5,200782,59.4,80646,23.8,107901,31.9,338258,21206,30.6,27626,39.8,22058,31.8,36307,52.4,69353,9020.0,9025.0,8822.0,8847.0,56697
