date,mxf_dealer_long_oi,mxf_dealer_short_oi,mxf_dealer_net_oi,mxf_foreigner_long_oi,mxf_foreigner_short_oi,mxf_foreigner_net_oi,mxf_trust_long_oi,mxf_trust_short_oi,mxf_trust_net_oi,mxf_long_oi,mxf_short_oi,mxf_net_oi
2008-04-21,1659,3147,-1488,0,138,-138,0,15,-15,1659,3300,-1641
2008-04-22,1829,3387,-1558,0,368,-368,0,12,-12,1829,3767,-1938
2008-04-23,1806,3473,-1667,0,64,-64,0,15,-15,1806,3552,-1746
2008-04-24,2414,3510,-1096,306,0,306,0,15,-15,2720,3525,-805
2008-04-25,2889,3808,-919,1,177,-176,0,9,-9,2890,3994,-1104
2008-04-28,4756,3698,1058,360,7,353,0,12,-12,5116,3717,1399
2008-04-29,3857,4516,-659,1,200,-199,0,12,-12,3858,4728,-870
2008-04-30,4526,4636,-110,299,0,299,0,9,-9,4825,4645,180
2008-05-02,2460,2736,-276,298,179,119,0,9,-9,2758,2924,-166
2008-05-05,1895,2860,-965,0,270,-270,0,9,-9,1895,3139,-1244
2008-05-06,2187,2754,-567,183,232,-49,0,7,-7,2370,2993,-623
2008-05-07,2393,2311,82,436,0,436,0,12,-12,2829,2323,506
2008-05-08,2000,2394,-394,266,131,135,0,12,-12,2266,2537,-271
2008-05-09,1449,2913,-1464,0,248,-248,0,9,-9,1449,3170,-1721
2008-05-12,1905,2557,-652,401,88,313,0,9,-9,2306,2654,-348
2008-05-13,3437,2414,1023,649,0,649,0,9,-9,4086,2423,1663
2008-05-14,3025,2540,485,566,200,366,0,9,-9,3591,2749,842
2008-05-15,3495,2522,973,499,0,499,0,9,-9,3994,2531,1463
2008-05-16,4058,2935,1123,552,3,549,0,9,-9,4610,2947,1663
2008-05-19,2955,2876,79,25,3,22,0,9,-9,2980,2888,92
2008-05-20,4590,7329,-2739,0,351,-351,0,8,-8,4590,7688,-3098
2008-05-21,4546,8508,-3962,12,148,-136,0,8,-8,4558,8664,-4106
2008-05-22,615,8487,-7872,158,149,9,0,7,-7,773,8643,-7870
2008-05-23,648,9418,-8770,0,506,-506,0,7,-7,648,9931,-9283
2008-05-26,920,9893,-8973,0,281,-281,0,12,-12,920,10186,-9266
2008-05-27,1038,9358,-8320,0,121,-121,0,7,-7,1038,9486,-8448
2008-05-28,1260,9561,-8301,0,695,-695,0,7,-7,1260,10263,-9003
2008-05-29,1656,10259,-8603,0,811,-811,0,9,-9,1656,11079,-9423
2008-05-30,1920,11294,-9374,0,1092,-1092,0,9,-9,1920,12395,-10475
2008-06-02,1840,11355,-9515,0,775,-775,0,9,-9,1840,12139,-10299
2008-06-03,1841,12354,-10513,0,1264,-1264,0,9,-9,1841,13627,-11786
2008-06-04,1848,11705,-9857,307,1003,-696,0,9,-9,2155,12717,-10562
2008-06-05,349,7948,-7599,219,1003,-784,0,9,-9,568,8960,-8392
2008-06-06,498,8170,-7672,0,1087,-1087,0,9,-9,498,9266,-8768
2008-06-09,442,9294,-8852,0,1023,-1023,0,17,-17,442,10334,-9892
2008-06-10,454,10734,-10280,0,1480,-1480,0,19,-19,454,12233,-11779
2008-06-11,493,11348,-10855,0,1343,-1343,0,19,-19,493,12710,-12217
2008-06-12,1909,11701,-9792,6,1644,-1638,0,19,-19,1915,13364,-11449
2008-06-13,2671,11501,-8830,0,1570,-1570,0,19,-19,2671,13090,-10419
2008-06-16,2146,10810,-8664,2,1340,-1338,0,19,-19,2148,12169,-10021
2008-06-17,786,9778,-8992,45,1503,-1458,0,19,-19,831,11300,-10469
2008-06-18,903,9450,-8547,55,1525,-1470,0,19,-19,958,10994,-10036
2008-06-19,146,7101,-6955,7,982,-975,0,13,-13,153,8096,-7943
2008-06-20,283,7289,-7006,0,1247,-1247,0,13,-13,283,8549,-8266
2008-06-23,817,8249,-7432,0,788,-788,0,13,-13,817,9050,-8233
2008-06-24,1108,8884,-7776,0,1012,-1012,0,13,-13,1108,9909,-8801
2008-06-25,1471,9518,-8047,0,726,-726,0,13,-13,1471,10257,-8786
2008-06-26,1639,10145,-8506,0,1322,-1322,0,13,-13,1639,11480,-9841
2008-06-27,1615,10082,-8467,145,1356,-1211,0,13,-13,1760,11451,-9691
2008-06-30,1682,10406,-8724,229,1444,-1215,0,13,-13,1911,11863,-9952
2008-07-01,210,8176,-7966,0,1532,-1532,0,13,-13,210,9721,-9511
2008-07-02,207,8741,-8534,262,1508,-1246,0,13,-13,469,10262,-9793
2008-07-03,1495,8668,-7173,236,1424,-1188,0,13,-13,1731,10105,-8374
2008-07-04,265,8488,-8223,0,1828,-1828,0,13,-13,265,10329,-10064
2008-07-07,374,7581,-7207,0,1377,-1377,0,13,-13,374,8971,-8597
2008-07-08,755,8744,-7989,0,1806,-1806,0,13,-13,755,10563,-9808
2008-07-09,965,8391,-7426,0,1726,-1726,0,13,-13,965,10130,-9165
2008-07-10,466,8515,-8049,0,1495,-1495,0,13,-13,466,10023,-9557
2008-07-11,911,7872,-6961,243,1502,-1259,0,13,-13,1154,9387,-8233
2008-07-14,643,9363,-8720,0,1878,-1878,0,13,-13,643,11254,-10611
2008-07-15,788,8216,-7428,0,1785,-1785,0,13,-13,788,10014,-9226
2008-07-16,499,7160,-6661,106,848,-742,0,3,-3,605,8011,-7406
2008-07-17,1228,3185,-1957,248,651,-403,0,3,-3,1476,3839,-2363
2008-07-18,1271,3726,-2455,248,876,-628,0,53,-53,1519,4655,-3136
2008-07-21,1481,2134,-653,514,804,-290,0,3,-3,1995,2941,-946
2008-07-22,1299,2559,-1260,514,1165,-651,0,113,-113,1813,3837,-2024
2008-07-23,2033,1851,182,514,973,-459,0,3,-3,2547,2827,-280
2008-07-24,1950,1626,324,514,862,-348,0,131,-131,2464,2619,-155
2008-07-25,1418,1792,-374,514,1126,-612,0,3,-3,1932,2921,-989
2008-07-29,1343,3410,-2067,514,1194,-680,0,180,-180,1857,4784,-2927
2008-07-30,1709,3939,-2230,514,1210,-696,0,3,-3,2223,5152,-2929
2008-07-31,2011,5521,-3510,209,977,-768,0,3,-3,2220,6501,-4281
2008-08-01,1677,5527,-3850,0,845,-845,0,118,-118,1677,6490,-4813
2008-08-04,1649,4596,-2947,0,412,-412,0,3,-3,1649,5011,-3362
2008-08-05,1034,4320,-3286,0,1084,-1084,0,203,-203,1034,5607,-4573
2008-08-06,1569,2596,-1027,0,823,-823,0,3,-3,1569,3422,-1853
2008-08-07,1352,2636,-1284,89,764,-675,0,151,-151,1441,3551,-2110
