time,titlecount,summary,summlen
2015-01-01,15.0,"外資券商喊台股上萬點,台股基金績效王 去年報酬逾2成,台股9307封關 25年最高,權民漲最大 D8兆豐奪冠,南亞國喬中石化 看旺,權證成交占比 拚逾5%,台指期 追價意願趨緩,陸推水十條 概念股發了,光學航運族群 題材多,力旺紅電醫 法人最愛,擂台賽 蔡中錚一季賺21%,台股 2014漲8% 今年拚萬點,大立光市值翻倍 台積新高,貝萊德 全球資管一哥,上市櫃配息率 五年最低",189.0
2015-01-02,10.0,"台股供應鏈 跟著分紅,投資情報站,資本市場 推動多項新政策,封關衝高股 今年強棒,光電半導體 法人去年大買,權證紅火 占大盤成交比倍增,台勝科微端 內外資挺,和大貿聯 後市有看頭,股市揚升 信用交易大鬆綁,台股 美林野村 唱旺蘋概股",116.0
2015-01-03,25.0,"台股漂亮封關 台股基金吐悶氣,電子中小兵 元月扮尖兵,華亞科 三千寵愛在一身,元月…先上後下？,法人偏多 挑戰前高可期,元月行情 9500點不是夢,今年首季 專家看衰俄股基金,電子新品 題材熱炒,半導體車電 投資主軸,陸股ETF 自營商愛,非蘋搶推新機 Q1掀戰火,風暴餘波…魏應交陷難題,穿戴裝置 躍一線戰區,2015選股 靠MAGIC變贏家,退居二線 魏應州辭康師傅CEO,頂新星光打包賣 吸引四買家,退居二線 魏應州辭康師傅CEO,2015選股 靠MAGIC變贏家,穿戴裝置 躍一線戰區,風暴餘波…魏應交陷難題,非蘋搶推新機 Q1掀戰火,掌握七撇步 避免住套房,新年選股 五虎將出列,外資：台股五利多 挑戰萬點,2014新股…四成跌破承銷價",323.0
2015-01-04,28.0,"台股 本周多空,支撐相對堅實 布局偏多認購權證,〝元月台股 能挑戰9500〞,多單水位高 橫盤後向上,兩岸財經 本周行事曆 1/5～1/8,群線齊揚 下跌空間有限,今年 全球市場藏哪些風險？,長假過後 人氣可望回籠,開南財金 布局億光台郡,本周選股 小心漲多回檔,東海財金 看好聯強合一,新一季校園擂台 東海vs.開南,挑戰者 陳速金 鍾情台驊錩新,華爾街大亨郭哲榮 看好金洲永昕,挑戰者 李政穎選福盈科南港,衛冕者 蔡中錚 挑千如台星科,台股擂台 Q1前戰報,新一季台股擂台 開打,富邦金（2881）政策加持 待量攻,ＴＶ大換機潮來了 供應鏈High,醫材藥品代理公司 商機大,台藥廠登陸 爭取臨床試驗,四族群 開紅盤亮點,美股陸股旺 大盤元月不寂寞,三星 對友達群創擴大採購,FOMC俄國經濟 牽動盤勢,三投信：台股元月行情衝9,800,未來一周大代誌",378.0
2015-01-05,45.0,"台幣補貶壓力大 下探32,法人買超業績股 搶紅包,生技領軍 大盤臉紅,國際逆風少 Q1可望走揚,二檔黃金現貨 今掛牌,大立光 營收連9個月新高,南亞科 上周看多第一,上周外資買超新興亞洲 台股再奪冠,黃金平台開跑 目標亞洲第一,華亞科華邦電 選長天期,元大金回應：肯定比3％多,宏碁微星更上層樓,台 生技指數漲0.96％,股匯雙殺 紅盤收黑,資金行情 專家樂觀看待,鴻海大立光 上月營收衝新高,國喬百和 動能強勁,美勞動市場數據 升息風向球,第一金兩基金 櫃買掛牌交易,生技汽車航運 亮點,環泥南僑 營運加分,台股開紅盤收黑 曾銘宗信心喊話,台指期 高檔盤整,中鋼華亞科法人捧,2億口 期市交易創新高,歐元、歐股基金 少碰為妙,修正？ 專家：選股不選市,航運股權證 油有可為,開放式基金交易平台 更便利,5陸股ETF 4喜創新高,台指期爆巨量 9200失而復得,美CES展 電子股看多,元旦開紅盤 11年僅4次跌,選擇權 買方布局,大和證券：大數據時代 點名十將,十大羊眉吐氣股 市場新寵,希臘攪局 採2策略因應,外資歸隊 添動能",465.0
2015-01-06,32.0,"台幣回升 午盤破32,台指期暴跌192點,守穩季線 有利以盤代跌,保險業 開放採歐台期、選避險,Ｆ-艾美早盤紅,美股重挫 金融股集體淪陷,步向淡季 大立光暫休兵,大波動期 權證改短打為宜,call友達放閃 put台積放量,全球股市空襲 台股暴跌,資誠：非經濟因素淡化 今年IPO至少60家,台股開紅盤 受美歐股市拖累,櫃買中心 擬推創櫃2.0、興櫃2.0,友達放電 國泰5Q亮,台積電和碩 四檔吸睛,中石化百和 短打強棒,CES題材類股 認購旺,台指期 短線中性偏多,面板雙虎 拉三喜砲,金融族群 放眼長線,三大題材股 資金簇擁,鋼鐵化工 元月主秀,中信:台股延續多頭攻勢,科技型台股基金 續領風騷,東協股市 元月行情有影,台股資金排擠 衝擊大,大立光營收新高 將寫四驚奇,3億個鏡頭…創下奇蹟,尊重專業 掌握研究關鍵,長榮航樂觀今年 啟動加薪,曾銘宗：台股補跌 短期現象,台幣破32元 重貶2.87角",401.0
2015-01-07,29.0,"專家台股點兵 航運汽車股,李克強力挺深港通 陸金融股聞聲漲,亞股有衝勁 上證午盤仍強,第一季獎勵 ＩＢ均量增即獲獎,台指期 尾盤下殺 價差轉逆,大盤 守雙關一路紅,跨勒式交易 多空都可賺,開放陸客買台股 專家：資金活水,陸客將可買台股,外資賣超180億 電子股傷最深,油價破50 歐元9年新低 全球股災,台股慘 財金首長：別擔心,嘉聯益強勢 統一4E樂,友達 挑逾三個月期,指數型權證 價平優選,嘉澤營邦精誠 有撐,國泰期財務策劃 獲殊榮,選擇權 買進賣權,三大類股期 空方摜壓,台微體新藥 獲經部補助,低基期股 專家喊布局,CES效應 電子五族群吃香,半導體族群 偏多操作,英特爾推新品 供應鏈旺,惠理康和：用ETF布局陸股,股債多元配置 可攻可守,張盛和：大跌有量 非壞事,外資大賣台股180億 公股買,台股大跌 曾銘宗：美股影響",367.0
2015-01-08,24.0,"台指期 飆213點 價差轉正,多方報喜 近期不悲觀,歐股先彈 採多頭避險,台股連闖兩關 收復9200,權值股彈升 重啟行情,運輸股漲 台股回神,台股活水！ 我歡迎大陸大媽下單,信驊橘子 四檔振奮,半導體面板 挑認售,華碩 優選逾三個月期,台指期 外資偏多操作,華亞科 本季營運蒙塵,長抱五族群 等著收紅包,低油價受惠股 首選,Apple Watch鏈迎春燕,台積鴻海回穩 多頭鬆口氣,14檔業績雙成長 吸睛,大立光 15日線上法說,開放陸客買台股 Q3上路,接軌國際 留意四隱憂,交易所得 須課稅15%,曾銘宗：股市交易成本 全面檢討,台幣盤旋32元可望持穩,低油價＋亞股穩住台股回神",292.0
2015-01-09,17.0,"本周航運紡纖、機械股強,外資回補 行情可望向上,有回檔訊號 買權價差套利,電子期領金融期走跌,李述德樂觀看今年台股,亞股紅 台股弱勢震盪收黑,美4月前不升息 亞股大反攻,第一金 去年EPS1.52元,金管會迎散戶 開放陸客買保單,台積發威 06凱基神氣,連結陸股標的 當紅,台指期 法人同步偏多,選擇權 波動率降,高效電池族群 可布局,權值股領軍 多頭喊衝,國泰期財務策劃 寫佳績,美4月前不升息 亞股大反攻",204.0
2015-01-10,22.0,"1234567 黃金基金吐悶氣,兩大咖法說 牽著台股走,周線震小黑 外資買轉賣,盤堅…仍有機會,外資未偏空 後勢不悲觀,投資更多元 人民幣ETF快來了,台幣貶 台股短空中多,半導體車電 可布局,李述德：不怕大陸吸金,金控好會賺 國泰逼近500億,緊抱素人股 搶賺大紅包,證交所 盼調降四商品稅率,太陽能事業 繼續努力,外資降評台積 台股周線收黑,聯發科入股夠麻吉 強攻電商,台積電 連三季新高,水平整合 李秉傑併出霸業,台積認賠 固態照明賣晶電,保障員工 薪職半年不變動,聯發科 年增逾五成,投資台股 陸客外客都歡迎,上市櫃創佳績 去年衝破30兆",273.0
