date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi
2007-07-11,24372,4617,19755,19893,38615,-18722,667,5677,-5010,44932,48909,-3977
2007-07-12,26030,4393,21637,20503,36074,-15571,631,5953,-5322,47164,46420,744
2007-07-13,28748,5282,23466,22192,38343,-16151,599,6088,-5489,51539,49713,1826
2007-07-16,25983,5394,20589,24241,42345,-18104,624,5991,-5367,50848,53730,-2882
2007-07-17,28092,5520,22572,28624,48625,-20001,639,6167,-5528,57355,60312,-2957
2007-07-18,26368,5878,20490,31057,53283,-22226,760,6190,-5430,58185,65351,-7166
2007-07-19,7562,3998,3564,24168,28768,-4600,656,5598,-4942,32386,38364,-5978
2007-07-20,8883,4053,4830,29191,29897,-706,634,5194,-4560,38708,39144,-436
2007-07-23,10337,3888,6449,27455,33399,-5944,680,5154,-4474,38472,42441,-3969
2007-07-24,12502,3863,8639,27469,34201,-6732,704,4843,-4139,40675,42907,-2232
2007-07-25,14710,4457,10253,27551,39962,-12411,771,4884,-4113,43032,49303,-6271
2007-07-26,12057,4672,7385,27854,45267,-17413,834,6112,-5278,40745,56051,-15306
2007-07-27,9924,6595,3329,24701,49811,-25110,1064,4681,-3617,35689,61087,-25398
2007-07-30,6860,6322,538,21584,45271,-23687,856,4626,-3770,29300,56219,-26919
2007-07-31,7018,3905,3113,21813,36934,-15121,854,4655,-3801,29685,45494,-15809
2007-08-01,5591,9164,-3573,21242,38181,-16939,1048,4390,-3342,27881,51735,-23854
2007-08-02,4887,5724,-837,21884,35158,-13274,1021,4248,-3227,27792,45130,-17338
2007-08-03,4872,6103,-1231,22634,33141,-10507,904,4225,-3321,28410,43469,-15059
2007-08-06,5436,5113,323,22630,35280,-12650,909,4097,-3188,28975,44490,-15515
2007-08-07,5048,5677,-629,22338,34387,-12049,911,4233,-3322,28297,44297,-16000
2007-08-08,6699,4352,2347,21657,30933,-9276,879,3828,-2949,29235,39113,-9878
2007-08-09,5834,4036,1798,22356,28117,-5761,915,3912,-2997,29105,36065,-6960
2007-08-10,4534,5248,-714,23170,30954,-7784,923,3537,-2614,28627,39739,-11112
2007-08-13,4384,5219,-835,24202,30573,-6371,843,3686,-2843,29429,39478,-10049
2007-08-14,4201,7185,-2984,26737,35482,-8745,861,3437,-2576,31799,46104,-14305
2007-08-15,3998,12420,-8422,31075,39669,-8594,847,3667,-2820,35920,55756,-19836
2007-08-16,1609,7491,-5882,14638,27771,-13133,973,3349,-2376,17220,38611,-21391
2007-08-17,1851,7201,-5350,13358,30077,-16719,1351,3193,-1842,16560,40471,-23911
2007-08-20,2943,5206,-2263,15574,26260,-10686,1346,2948,-1602,19863,34414,-14551
2007-08-21,3243,4602,-1359,16691,25981,-9290,1022,3489,-2467,20956,34072,-13116
2007-08-22,3570,4175,-605,16791,25861,-9070,878,3530,-2652,21239,33566,-12327
2007-08-23,3501,3947,-446,17562,23473,-5911,869,3877,-3008,21932,31297,-9365
2007-08-24,2907,4305,-1398,18056,21686,-3630,884,4365,-3481,21847,30356,-8509
2007-08-27,2655,4715,-2060,19956,20079,-123,877,4724,-3847,23488,29518,-6030
2007-08-28,3146,5298,-2152,21069,20381,688,877,5196,-4319,25092,30875,-5783
2007-08-29,3401,4939,-1538,20190,22719,-2529,922,5005,-4083,24513,32663,-8150
2007-08-30,4202,4511,-309,20355,21220,-865,870,5187,-4317,25427,30918,-5491
2007-08-31,6328,3512,2816,22399,21579,820,879,4835,-3956,29606,29926,-320
2007-09-03,7066,3049,4017,22652,23764,-1112,856,4390,-3534,30574,31203,-629
2007-09-04,5837,3095,2742,22349,22782,-433,704,4449,-3745,28890,30326,-1436
2007-09-05,5292,3275,2017,22417,23722,-1305,763,4485,-3722,28472,31482,-3010
2007-09-06,7031,2596,4435,23212,25065,-1853,781,4174,-3393,31024,31835,-811
2007-09-07,6764,2467,4297,24029,25690,-1661,815,3845,-3030,31608,32002,-394
2007-09-10,5910,3039,2871,23895,25603,-1708,825,3566,-2741,30630,32208,-1578
2007-09-11,6148,3487,2661,25135,25234,-99,769,3585,-2816,32052,32306,-254
2007-09-12,5202,3470,1732,25668,25487,181,786,3563,-2777,31656,32520,-864
2007-09-13,4508,3542,966,26592,25580,1012,730,3817,-3087,31830,32939,-1109
2007-09-14,6385,2478,3907,26672,27310,-638,753,3446,-2693,33810,33234,576
2007-09-17,4898,2099,2799,26685,30328,-3643,756,3557,-2801,32339,35984,-3645
2007-09-19,6624,3305,3319,27928,30236,-2308,718,4141,-3423,35270,37682,-2412
2007-09-20,3213,2741,472,13863,12791,1072,693,3855,-3162,17769,19387,-1618
2007-09-21,4278,2505,1773,14242,13837,405,687,3957,-3270,19207,20299,-1092
2007-09-26,5186,2343,2843,15126,14997,129,742,3479,-2737,21054,20819,235
2007-09-27,6148,2361,3787,16203,14877,1326,744,3242,-2498,23095,20480,2615
2007-09-28,5746,3555,2191,16326,14602,1724,787,3383,-2596,22859,21540,1319
2007-09-29,6412,2863,3549,16351,14422,1929,737,3346,-2609,23500,20631,2869
2007-10-01,6569,2537,4032,15951,14481,1470,691,3352,-2661,23211,20370,2841
2007-10-02,7649,2589,5060,14571,13437,1134,721,3232,-2511,22941,19258,3683
2007-10-03,8226,2088,6138,13783,13711,72,721,3515,-2794,22730,19314,3416
2007-10-04,8631,2075,6556,12039,19053,-7014,672,3385,-2713,21342,24513,-3171
2007-10-05,7806,2087,5719,12422,20702,-8280,673,3390,-2717,20901,26179,-5278
2007-10-08,9622,1980,7642,11896,19857,-7961,723,3301,-2578,22241,25138,-2897
2007-10-09,6687,1898,4789,12235,20098,-7863,702,3339,-2637,19624,25335,-5711
2007-10-11,8435,2029,6406,11094,19314,-8220,702,3328,-2626,20231,24671,-4440
2007-10-12,4097,2745,1352,13658,20671,-7013,800,3230,-2430,18555,26646,-8091
2007-10-15,3966,3991,-25,16735,21202,-4467,831,3216,-2385,21532,28409,-6877
2007-10-16,5214,3962,1252,19699,24454,-4755,837,3108,-2271,25750,31524,-5774
2007-10-17,5284,4033,1251,20736,25066,-4330,836,3014,-2178,26856,32113,-5257
2007-10-18,4020,2801,1219,13814,17040,-3226,763,2979,-2216,18597,22820,-4223
2007-10-19,3662,2887,775,13467,16502,-3035,768,2905,-2137,17897,22294,-4397
2007-10-22,2962,4804,-1842,14631,15283,-652,766,3108,-2342,18359,23195,-4836
2007-10-23,3589,3823,-234,15810,15543,267,312,3127,-2815,19711,22493,-2782
2007-10-24,3150,4608,-1458,16281,15279,1002,330,3328,-2998,19761,23215,-3454
2007-10-25,2822,4069,-1247,16189,14694,1495,320,3240,-2920,19331,22003,-2672
2007-10-26,2897,2994,-97,16033,14875,1158,349,3176,-2827,19279,21045,-1766
2007-10-29,6467,2215,4252,12493,16132,-3639,308,3207,-2899,19268,21554,-2286
2007-10-30,5730,2576,3154,13651,17462,-3811,331,3130,-2799,19712,23168,-3456
2007-10-31,5902,2625,3277,11963,19910,-7947,310,3051,-2741,18175,25586,-7411
2007-11-01,4508,3086,1422,14887,20687,-5800,293,2838,-2545,19688,26611,-6923
2007-11-02,2972,5316,-2344,15055,22442,-7387,364,3591,-3227,18391,31349,-12958
2007-11-05,3143,6245,-3102,16482,21795,-5313,346,4593,-4247,19971,32633,-12662
2007-11-06,2743,7485,-4742,17840,21802,-3962,238,4879,-4641,20821,34166,-13345
2007-11-07,2712,8740,-6028,19432,19393,39,301,4835,-4534,22445,32968,-10523
2007-11-08,2827,11690,-8863,21002,18726,2276,355,5222,-4867,24184,35638,-11454
2007-11-09,3326,11142,-7816,20211,19125,1086,299,5478,-5179,23836,35745,-11909
2007-11-12,2623,14188,-11565,20603,18593,2010,459,5353,-4894,23685,38134,-14449
2007-11-13,2691,13681,-10990,21260,19568,1692,405,5557,-5152,24356,38806,-14450
2007-11-14,3228,11654,-8426,20884,18704,2180,362,5481,-5119,24474,35839,-11365
2007-11-15,2414,12562,-10148,20951,18436,2515,489,5615,-5126,23854,36613,-12759
2007-11-16,1890,12282,-10392,22163,17881,4282,394,5682,-5288,24447,35845,-11398
2007-11-19,1284,14490,-13206,25945,20210,5735,415,5730,-5315,27644,40430,-12786
2007-11-20,1996,15501,-13505,30836,23003,7833,415,6058,-5643,33247,44562,-11315
2007-11-21,2664,19326,-16662,36310,27821,8489,389,5685,-5296,39363,52832,-13469
2007-11-22,2288,3789,-1501,13025,20496,-7471,260,5440,-5180,15573,29725,-14152
2007-11-23,2222,4345,-2123,12887,21125,-8238,300,5630,-5330,15409,31100,-15691
2007-11-26,3346,2955,391,13956,20960,-7004,278,5715,-5437,17580,29630,-12050
2007-11-27,2508,4305,-1797,14283,23318,-9035,283,5506,-5223,17074,33129,-16055
2007-11-28,2537,4498,-1961,13064,21949,-8885,430,5753,-5323,16031,32200,-16169
2007-11-29,2980,3650,-670,14095,19752,-5657,293,6170,-5877,17368,29572,-12204
2007-11-30,3247,4108,-861,17432,19248,-1816,313,5079,-4766,20992,28435,-7443
2007-12-03,3220,3855,-635,16945,18819,-1874,305,5060,-4755,20470,27734,-7264
2007-12-04,3732,3411,321,16835,20554,-3719,324,4984,-4660,20891,28949,-8058
2007-12-05,5083,2688,2395,16122,20093,-3971,172,5132,-4960,21377,27913,-6536
2007-12-06,3994,2877,1117,16218,19558,-3340,172,4335,-4163,20384,26770,-6386
2007-12-07,3707,2867,840,16202,19010,-2808,171,4615,-4444,20080,26492,-6412
2007-12-10,2624,3176,-552,15920,19867,-3947,196,4918,-4722,18740,27961,-9221
2007-12-11,2986,3286,-300,16621,19333,-2712,176,5304,-5128,19783,27923,-8140
2007-12-12,1604,4491,-2887,16443,19951,-3508,243,5297,-5054,18290,29739,-11449
2007-12-13,591,7042,-6451,15739,19963,-4224,278,6027,-5749,16608,33032,-16424
2007-12-14,1019,7975,-6956,16650,17568,-918,266,6370,-6104,17935,31913,-13978
2007-12-17,915,10754,-9839,22174,19297,2877,284,6312,-6028,23373,36363,-12990
2007-12-18,1502,12019,-10517,27069,22496,4573,277,5620,-5343,28848,40135,-11287
2007-12-19,2454,10124,-7670,27674,19823,7851,227,4900,-4673,30355,34847,-4492
2007-12-20,1780,4812,-3032,16073,13231,2842,270,5510,-5240,18123,23553,-5430
2007-12-21,1677,4979,-3302,17180,13624,3556,247,5272,-5025,19104,23875,-4771
2007-12-24,1610,4544,-2934,17723,12942,4781,219,5246,-5027,19552,22732,-3180
2007-12-25,1929,4351,-2422,17806,12972,4834,208,5096,-4888,19943,22419,-2476
2007-12-26,2101,4337,-2236,17902,13125,4777,200,5753,-5553,20203,23215,-3012
2007-12-27,2887,4335,-1448,18716,13253,5463,316,3841,-3525,21919,21429,490
2007-12-28,3298,3512,-214,17824,12116,5708,229,3854,-3625,21351,19482,1869
2007-12-31,4345,2981,1364,17673,13014,4659,233,3741,-3508,22251,19736,2515
2008-01-02,3424,2750,674,18631,14720,3911,215,4557,-4342,22270,22027,243
2008-01-03,3118,3574,-456,19328,17051,2277,281,5580,-5299,22727,26205,-3478
2008-01-04,3663,3749,-86,20478,17585,2893,334,4804,-4470,24475,26138,-1663
2008-01-07,2591,6967,-4376,24237,19639,4598,322,7349,-7027,27150,33955,-6805
2008-01-08,2365,8029,-5664,27563,19684,7879,318,7036,-6718,30246,34749,-4503
2008-01-09,4909,6453,-1544,27060,18926,8134,269,6704,-6435,32238,32083,155
2008-01-10,4025,6319,-2294,25167,16445,8722,270,6323,-6053,29462,29087,375
2008-01-11,3558,5590,-2032,24393,18508,5885,270,6851,-6581,28221,30949,-2728
2008-01-14,4493,5887,-1394,39804,22327,17477,181,6769,-6588,44478,34983,9495
2008-01-15,8647,4180,4467,36877,24981,11896,199,5092,-4893,45723,34253,11470
2008-01-16,5511,4889,622,32344,28982,3362,231,5073,-4842,38086,38944,-858
