date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi,mxf_dealer_long_oi,mxf_dealer_short_oi,mxf_dealer_net_oi,mxf_foreigner_long_oi,mxf_foreigner_short_oi,mxf_foreigner_net_oi,mxf_trust_long_oi,mxf_trust_short_oi,mxf_trust_net_oi,mxf_long_oi,mxf_short_oi,mxf_net_oi,open,high,low,close,volume
2008-04-21,6850,2769,4081,29147,35186,-6039,374,3328,-2954,36371,41283,-4912,1659,3147,-1488,0,138,-138,0,15,-15,1659,3300,-1641,9168.0,9174.0,9044.0,9082.0,49855
2008-04-22,6660,3331,3329,28689,35871,-7182,261,3253,-2992,35610,42455,-6845,1829,3387,-1558,0,368,-368,0,12,-12,1829,3767,-1938,9056.0,9076.0,8977.0,9030.0,49137
2008-04-23,6968,3286,3682,28352,39027,-10675,280,3454,-3174,35600,45767,-10167,1806,3473,-1667,0,64,-64,0,15,-15,1806,3552,-1746,9055.0,9093.0,8945.0,8984.0,68333
2008-04-24,6060,3021,3039,29542,38203,-8661,288,3345,-3057,35890,44569,-8679,2414,3510,-1096,306,0,306,0,15,-15,2720,3525,-805,8966.0,9045.0,8955.0,8978.0,50961
2008-04-25,6784,3760,3024,29788,38016,-8228,236,3543,-3307,36808,45319,-8511,2889,3808,-919,1,177,-176,0,9,-9,2890,3994,-1104,9052.0,9068.0,8950.0,8988.0,54703
2008-04-28,9091,4275,4816,30473,36881,-6408,240,3559,-3319,39804,44715,-4911,4756,3698,1058,360,7,353,0,12,-12,5116,3717,1399,8998.0,9092.0,8973.0,9090.0,54693
2008-04-29,7462,4715,2747,29985,39049,-9064,272,3864,-3592,37719,47628,-9909,3857,4516,-659,1,200,-199,0,12,-12,3858,4728,-870,9090.0,9100.0,8872.0,8920.0,62994
2008-04-30,7121,4678,2443,30623,39417,-8794,280,4184,-3904,38024,48279,-10255,4526,4636,-110,299,0,299,0,9,-9,4825,4645,180,8910.0,8986.0,8895.0,8937.0,48508
2008-05-02,7994,4086,3908,31780,39355,-7575,361,4166,-3805,40135,47607,-7472,2460,2736,-276,298,179,119,0,9,-9,2758,2924,-166,9021.0,9040.0,8936.0,9009.0,45415
2008-05-05,4883,5344,-461,31216,40588,-9372,581,4191,-3610,36680,50123,-13443,1895,2860,-965,0,270,-270,0,9,-9,1895,3139,-1244,9020.0,9025.0,8822.0,8847.0,56697
2008-05-06,5373,5232,141,30213,41304,-11091,631,4961,-4330,36217,51497,-15280,2187,2754,-567,183,232,-49,0,7,-7,2370,2993,-623,8860.0,8888.0,8780.0,8870.0,53812
2008-05-07,5832,4538,1294,30474,40169,-9695,754,4847,-4093,37060,49554,-12494,2393,2311,82,436,0,436,0,12,-12,2829,2323,506,8903.0,8976.0,8881.0,8918.0,54074
